"","X.3","X.2","X.1","X","st_id","female","ethniccode","ethniccode_cat","firstgen","international","transfer","lowincomeflag","numgrade","cum_prior_gpa","gpao","crs_name","crs_section","n_section","black_afram","hispanic_latinx","indigenous_am_indian","asian","pacific_islander","crs_year","crs_semq","white","major","stem_major","lettergrade"
"13",13,13,13,27,"fb01",0,1,1,1,0,1,1,2,2.64,2.75,"BIO300",201703,703,0,1,0,0,0,2017,"2",0,"Economics",1,"C"
"14",14,14,14,29,"7b15",1,1,1,1,0,0,1,2.7,3.07,3.16,"BIO300",201801,710,0,1,0,0,0,2018,"1",0,"English",0,"B-"
"15",15,15,15,31,"4593",1,1,1,0,0,0,0,3,3.09,3.16,"BIO300",201810,680,0,1,0,0,0,2018,"5",0,"Political Science",0,"B"
"16",16,16,16,33,"f41a",1,3,2,1,0,1,1,4,NA,3.69,"BIO300",201810,680,0,0,0,1,0,2018,"5",0,"Physics",1,"A"
"17",17,17,17,36,"6c42",0,3,2,0,0,1,0,2,2.83,2.81,"BIO300",201801,710,0,0,0,1,0,2018,"1",0,"Communication",0,"C"
"18",18,18,18,43,"8a50",1,3,2,0,0,0,0,2.7,3.44,3.41,"BIO300",201901,799,0,0,0,1,0,2019,"1",0,"Biological Sciences",1,"B-"
"19",19,19,19,44,"add9",1,3,2,0,0,1,0,4,NA,4,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"Communication",0,"A"
"20",20,20,20,46,"c56c",0,3,2,1,0,0,0,3.7,3.3,3.29,"BIO300",201901,799,0,0,0,1,0,2019,"1",0,"Political Science",0,"A-"
"21",21,21,21,48,"9f2e",0,3,2,0,0,0,0,2,2.57,2.54,"BIO300",201810,680,0,0,0,1,0,2018,"5",0,"Mathematics",1,"C"
"22",22,22,22,55,"5fbc",1,1,1,1,0,0,1,2.3,3.36,3.45,"BIO300",201810,680,0,1,0,0,0,2018,"5",0,"Economics",1,"C+"
"23",23,23,23,60,"63b7",1,1,1,0,0,0,1,3,3.4,3.36,"BIO300",201703,703,0,1,0,0,0,2017,"2",0,"Political Science",0,"B"
"24",24,24,24,61,"d212",0,6,0,0,0,1,0,4,3.62,3.66,"BIO300",201703,703,0,0,0,0,0,2017,"2",1,"Chemistry",1,"A"
"25",25,25,25,69,"c307",0,3,2,0,0,0,1,4,3.22,3.34,"BIO300",201701,629,0,0,0,1,0,2017,"1",0,"Psychology",0,"A"
"26",26,26,26,70,"09a0",0,6,0,0,0,0,0,4,3.24,3.25,"BIO300",201801,710,0,0,0,0,0,2018,"1",1,"Computer Science",1,"A"
"27",27,27,27,76,"f544",0,6,0,0,0,0,0,4,3.48,3.47,"BIO300",201610,637,0,0,0,0,0,2016,"5",1,"Finance",0,"A"
"28",28,28,28,77,"616f",1,6,0,0,0,0,0,4,3.48,3.5,"BIO300",201701,629,0,0,0,0,0,2017,"1",1,"Finance",0,"A"
"29",29,29,29,78,"086d",1,3,2,0,1,0,0,4,3.91,3.92,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Psychology",0,"A"
"30",30,30,30,80,"495f",1,3,2,0,0,0,1,4,3.85,3.8,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Political Science",0,"A"
"31",31,31,31,81,"0c3b",0,4,1,0,0,1,0,2.3,2.85,2.78,"BIO300",201610,637,1,0,0,0,0,2016,"5",0,"Economics",1,"C+"
"32",32,32,32,88,"dea7",0,6,0,0,0,1,1,2,3,2.93,"BIO300",201903,623,0,0,0,0,0,2019,"2",1,"Chemistry",1,"C"
"33",33,33,33,89,"32ea",0,6,0,0,0,0,1,3.7,3.82,3.61,"BIO300",201903,623,0,0,0,0,0,2019,"2",1,"Biological Sciences",1,"A-"
"34",34,34,34,92,"565c",1,1,1,1,0,0,1,2,3.1,3.08,"BIO300",201703,703,0,1,0,0,0,2017,"2",0,"English",0,"C"
"35",35,35,35,93,"6325",1,1,1,1,0,1,1,2.7,NA,3.56,"BIO300",201710,693,0,1,0,0,0,2017,"5",0,"Psychology",0,"B-"
"36",36,36,36,94,"3d28",1,3,2,1,0,1,1,2,NA,2.2,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"Chemistry",1,"C"
"37",37,37,37,95,"0e26",0,1,1,1,0,1,0,1.7,2.55,2.56,"BIO300",201801,710,0,1,0,0,0,2018,"1",0,"Political Science",0,"C-"
"38",38,38,38,98,"f39a",1,3,2,1,0,0,1,2.3,3.28,3.32,"BIO300",201801,710,0,0,0,1,0,2018,"1",0,"Psychology",0,"C+"
"39",39,39,39,102,"2ee5",1,3,2,0,0,0,1,3,2.97,3.02,"BIO300",201710,693,0,0,0,1,0,2017,"5",0,"Political Science",0,"B"
"40",40,40,40,103,"6e09",1,1,1,1,0,0,0,3,3.19,3.16,"BIO300",201801,710,0,1,0,0,0,2018,"1",0,"Finance",0,"B"
"41",41,41,41,108,"332e",1,3,2,1,0,0,1,3,3.03,3.03,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"Communication",0,"B"
"42",42,42,42,111,"a959",1,3,2,0,0,1,0,2,2.97,3.01,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"Business Management",0,"C"
"43",43,43,43,114,"b668",1,3,2,0,0,1,1,3.7,3.85,3.5,"BIO300",201801,710,0,0,0,1,0,2018,"1",0,"Psychology",0,"A-"
"44",44,44,44,117,"c4e8",0,6,0,0,0,0,0,3.3,3.52,3.54,"BIO300",201803,727,0,0,0,0,0,2018,"2",1,"Chemistry",1,"B+"
"45",45,45,45,119,"edbf",1,3,2,1,0,0,1,2.3,2.6,2.6,"BIO300",201810,680,0,0,0,1,0,2018,"5",0,"Chemistry",1,"C+"
"46",46,46,46,122,"9256",1,1,1,1,0,0,1,2,2.61,2.61,"BIO300",201903,623,0,1,0,0,0,2019,"2",0,"Business Management",0,"C"
"47",47,47,47,124,"f01e",1,1,1,1,0,1,0,2.7,NA,2.85,"BIO300",201810,680,0,1,0,0,0,2018,"5",0,"Political Science",0,"B-"
"48",48,48,48,131,"040e",1,1,1,1,0,1,0,1.7,2.28,2.26,"BIO300",201803,727,0,1,0,0,0,2018,"2",0,"Economics",1,"C-"
"49",49,49,49,132,"a9fb",1,3,2,1,0,0,1,2.3,3.17,3.23,"BIO300",201903,623,0,0,0,1,0,2019,"2",0,"Communication",0,"C+"
"50",50,50,50,136,"3c70",1,6,0,0,0,0,0,3.7,3.42,3.34,"BIO300",201810,680,0,0,0,0,0,2018,"5",1,"Chemistry",1,"A-"
"51",51,51,51,138,"7833",1,6,0,0,0,0,0,1.7,2.48,2.49,"BIO300",201703,703,0,0,0,0,0,2017,"2",1,"Economics",1,"C-"
"52",52,52,52,139,"b5e4",1,3,2,0,1,0,0,3.3,3.53,3.51,"BIO300",201701,629,0,0,0,1,0,2017,"1",0,"Physics",1,"B+"
"53",53,53,53,142,"7d19",1,1,1,1,0,1,1,3,3.41,3.42,"BIO300",201701,629,0,1,0,0,0,2017,"1",0,"Communication",0,"B"
"54",54,54,54,143,"7a4d",1,1,1,1,0,0,1,0,2.59,2.61,"BIO300",201903,623,0,1,0,0,0,2019,"2",0,"Physics",1,"F"
"55",55,55,55,145,"5d79",1,3,2,0,0,0,1,4,3.61,3.62,"BIO300",201710,693,0,0,0,1,0,2017,"5",0,"Economics",1,"A"
"56",56,56,56,146,"e63b",1,6,0,0,0,1,0,3,3.43,3.4,"BIO300",201701,629,0,0,0,0,0,2017,"1",1,"Economics",1,"B"
"57",57,57,57,148,"8323",1,1,1,1,0,0,1,1.7,2.72,2.77,"BIO300",201801,710,0,1,0,0,0,2018,"1",0,"Computer Science",1,"C-"
"58",58,58,58,149,"cd8e",0,3,2,1,0,1,1,3.3,3.41,3.36,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Political Science",0,"B+"
"59",59,59,59,153,"aa43",0,6,0,0,0,0,0,4,3.7,3.69,"BIO300",201703,703,0,0,0,0,0,2017,"2",1,"Mathematics",1,"A"
"60",60,60,60,154,"3e1a",1,3,2,0,0,1,0,2,2.73,2.73,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Physics",1,"C"
"61",61,61,61,156,"df97",0,1,1,0,0,0,1,3.3,3.08,3,"BIO300",201703,703,0,1,0,0,0,2017,"2",0,"Political Science",0,"B+"
"62",62,62,62,157,"5951",1,1,1,1,0,0,1,3,3.28,3.29,"BIO300",201901,799,0,1,0,0,0,2019,"1",0,"Communication",0,"B"
"63",63,63,63,159,"810d",1,6,0,0,1,1,0,1.7,3.42,3.42,"BIO300",201901,799,0,0,0,0,0,2019,"1",1,"Communication",0,"C-"
"64",64,64,64,160,"6593",1,6,0,1,0,1,0,4,3.23,3.26,"BIO300",201901,799,0,0,0,0,0,2019,"1",1,"Psychology",0,"A"
"65",65,65,65,161,"36c5",0,6,0,0,0,0,0,3.3,3.94,3.9,"BIO300",201903,623,0,0,0,0,0,2019,"2",1,"Economics",1,"B+"
"66",66,66,66,162,"b1cf",0,1,1,1,0,1,0,1.3,2.35,2.91,"BIO300",201810,680,0,1,0,0,0,2018,"5",0,"Communication",0,"D+"
"67",67,67,67,163,"6a19",1,1,1,1,0,1,0,3.7,3.57,3.53,"BIO300",201901,799,0,1,0,0,0,2019,"1",0,"English",0,"A-"
"68",68,68,68,164,"6e51",1,1,1,0,0,0,0,0,2.4,2.24,"BIO300",201803,727,0,1,0,0,0,2018,"2",0,"Communication",0,"F"
"69",69,69,69,170,"7968",0,1,1,1,0,1,0,3.3,2.58,2.53,"BIO300",201901,799,0,1,0,0,0,2019,"1",0,"Chemistry",1,"B+"
"70",70,70,70,177,"0344",1,3,2,0,0,1,0,3,3.34,3.33,"BIO300",201901,799,0,0,0,1,0,2019,"1",0,"Communication",0,"B"
"71",71,71,71,178,"1201",0,6,0,0,0,0,0,3.7,3.5,3.48,"BIO300",201910,683,0,0,0,0,0,2019,"5",1,"English",0,"A-"
"72",72,72,72,181,"fd30",0,1,1,1,0,0,1,1.3,2.82,2.82,"BIO300",201803,727,0,1,0,0,0,2018,"2",0,"Communication",0,"D+"
"73",73,73,73,184,"4bb7",1,3,2,1,0,1,0,2,NA,3,"BIO300",201710,693,0,0,0,1,0,2017,"5",0,"English",0,"C"
"74",74,74,74,187,"aa77",0,6,0,0,0,0,0,2,3.37,3.37,"BIO300",201701,629,0,0,0,0,0,2017,"1",1,"Business Management",0,"C"
"75",75,75,75,191,"557d",1,3,2,1,0,1,1,1,3.01,2.99,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"Biological Sciences",1,"D"
"76",76,76,76,192,"453d",1,3,2,0,0,0,0,3.7,3.32,3.35,"BIO300",201810,680,0,0,0,1,0,2018,"5",0,"Mathematics",1,"A-"
"77",77,77,77,194,"e854",1,6,0,0,0,0,0,2,2.96,2.97,"BIO300",201810,680,0,0,0,0,0,2018,"5",1,"Biological Sciences",1,"C"
"78",78,78,78,195,"af99",0,6,0,0,0,0,0,2.7,2.73,2.75,"BIO300",201810,680,0,0,0,0,0,2018,"5",1,"Mathematics",1,"B-"
"79",79,79,79,196,"91ed",1,3,2,1,0,0,1,3,3.21,3.27,"BIO300",201710,693,0,0,0,1,0,2017,"5",0,"Communication",0,"B"
"80",80,80,80,198,"0c1c",1,1,1,0,0,0,0,2.3,3.17,3.13,"BIO300",201901,799,0,1,0,0,0,2019,"1",0,"Finance",0,"C+"
"81",81,81,81,202,"7a9b",0,1,1,1,0,1,0,2.3,2.61,2.63,"BIO300",201803,727,0,1,0,0,0,2018,"2",0,"Economics",1,"C+"
"82",82,82,82,203,"9b60",1,1,1,0,0,0,0,3.7,3.46,3.48,"BIO300",201910,683,0,1,0,0,0,2019,"5",0,"Business Management",0,"A-"
"83",83,83,83,206,"4654",0,3,2,0,0,1,0,2.7,2.2,2.4,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Business Management",0,"B-"
"84",84,84,84,207,"3fff",1,3,2,1,0,0,0,3.7,3.03,3.05,"BIO300",201801,710,0,0,0,1,0,2018,"1",0,"Computer Science",1,"A-"
"85",85,85,85,208,"b16e",1,3,2,1,0,0,0,3,3.25,3.27,"BIO300",201901,799,0,0,0,1,0,2019,"1",0,"Economics",1,"B"
"86",86,86,86,209,"c874",1,3,2,0,0,0,0,3,3.17,3.22,"BIO300",201701,629,0,0,0,1,0,2017,"1",0,"Communication",0,"B"
"87",87,87,87,211,"b240",1,3,2,1,0,1,1,2.3,3.12,3.11,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Finance",0,"C+"
"88",88,88,88,212,"a87b",0,3,2,0,0,0,0,2.3,2.3,1.95,"BIO300",201903,623,0,0,0,1,0,2019,"2",0,"Biological Sciences",1,"C+"
"89",89,89,89,215,"1f93",1,3,2,0,0,0,0,4,3.7,3.72,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"Computer Science",1,"A"
"90",90,90,90,216,"c742",1,3,2,0,1,0,0,3.7,3.05,3.02,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Psychology",0,"A-"
"91",91,91,91,218,"e078",1,3,2,0,1,1,0,2.7,2.31,2.37,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"English",0,"B-"
"92",92,92,92,221,"3bac",1,1,1,1,0,1,1,2.7,3.35,3.34,"BIO300",201903,623,0,1,0,0,0,2019,"2",0,"Mathematics",1,"B-"
"93",93,93,93,222,"b032",0,6,0,1,0,1,0,3.7,3.52,3.46,"BIO300",201703,703,0,0,0,0,0,2017,"2",1,"English",0,"A-"
"94",94,94,94,223,"ad4c",1,3,2,0,0,0,0,3,3.17,3.27,"BIO300",201701,629,0,0,0,1,0,2017,"1",0,"Psychology",0,"B"
"95",95,95,95,224,"48ff",1,6,0,1,0,0,0,4,3.69,3.68,"BIO300",201901,799,0,0,0,0,0,2019,"1",1,"Finance",0,"A"
"96",96,96,96,233,"854a",1,1,1,1,0,1,0,1.7,2.63,2.79,"BIO300",201701,629,0,1,0,0,0,2017,"1",0,"Business Management",0,"C-"
"97",97,97,97,234,"59ef",1,3,2,1,0,1,0,1,1.99,2.19,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Communication",0,"D"
"98",98,98,98,235,"e0a2",0,6,0,0,0,1,0,3.3,3.04,3.03,"BIO300",201801,710,0,0,0,0,0,2018,"1",1,"Psychology",0,"B+"
"99",99,99,99,237,"3267",1,3,2,0,0,1,0,3,3.1,2.99,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"Psychology",0,"B"
"100",100,100,100,242,"72a3",1,6,0,1,0,1,0,0,2.42,2.31,"BIO300",201803,727,0,0,0,0,0,2018,"2",1,"Communication",0,"F"
"101",101,101,101,245,"db52",1,1,1,0,0,0,0,3,3.11,3.07,"BIO300",201701,629,0,1,0,0,0,2017,"1",0,"English",0,"B"
"102",102,102,102,246,"1cac",1,NA,0,0,0,0,0,3.7,3.87,3.88,"BIO300",201901,799,NA,NA,NA,NA,NA,2019,"1",NA,"English",0,"A-"
"103",103,103,103,250,"56f6",1,1,1,0,0,0,0,3.7,3.82,3.84,"BIO300",201910,683,0,1,0,0,0,2019,"5",0,"Computer Science",1,"A-"
"104",104,104,104,251,"f71f",1,3,2,0,1,0,0,3.3,3.44,3.37,"BIO300",201810,680,0,0,0,1,0,2018,"5",0,"Computer Science",1,"B+"
"105",105,105,105,253,"d234",1,6,0,0,0,1,0,2,1.91,2.28,"BIO300",201610,637,0,0,0,0,0,2016,"5",1,"Business Management",0,"C"
"106",106,106,106,254,"bdfc",0,1,1,1,0,1,0,4,3.21,3.28,"BIO300",201703,703,0,1,0,0,0,2017,"2",0,"Business Management",0,"A"
"107",107,107,107,257,"a3aa",0,3,2,0,1,0,0,3,3.83,3.82,"BIO300",201710,693,0,0,0,1,0,2017,"5",0,"Psychology",0,"B"
"108",108,108,108,260,"b016",1,1,1,1,0,1,0,1.3,2.95,3,"BIO300",201810,680,0,1,0,0,0,2018,"5",0,"Biological Sciences",1,"D+"
"109",109,109,109,261,"1254",1,3,2,1,0,0,0,2.7,2.95,2.99,"BIO300",201901,799,0,0,0,1,0,2019,"1",0,"Psychology",0,"B-"
"110",110,110,110,263,"7063",1,3,2,0,0,1,0,4,NA,2.7,"BIO300",201810,680,0,0,0,1,0,2018,"5",0,"English",0,"A"
"111",111,111,111,264,"eb42",1,3,2,0,0,0,0,3,3.22,3.28,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"Economics",1,"B"
"112",112,112,112,275,"8486",1,6,0,0,0,0,0,4,3.91,3.93,"BIO300",201903,623,0,0,0,0,0,2019,"2",1,"Computer Science",1,"A"
"113",113,113,113,277,"1a5d",1,3,2,0,0,0,0,3,3.57,3.58,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"Computer Science",1,"B"
"114",114,114,114,279,"895a",0,3,2,0,0,0,0,3.7,3.37,3.62,"BIO300",201701,629,0,0,0,1,0,2017,"1",0,"Physics",1,"A-"
"115",115,115,115,280,"8830",1,6,0,1,0,1,0,3.7,3.77,3.72,"BIO300",201701,629,0,0,0,0,0,2017,"1",1,"Mathematics",1,"A-"
"116",116,116,116,284,"86a2",0,3,2,0,1,1,0,3.3,NA,3.27,"BIO300",201710,693,0,0,0,1,0,2017,"5",0,"Computer Science",1,"B+"
"117",117,117,117,285,"2667",1,1,1,1,0,0,1,2.7,2.58,2.51,"BIO300",201903,623,0,1,0,0,0,2019,"2",0,"Economics",1,"B-"
"118",118,118,118,287,"01d3",1,6,0,1,0,1,0,2,NA,3.68,"BIO300",201710,693,0,0,0,0,0,2017,"5",1,"Physics",1,"C"
"119",119,119,119,288,"402e",1,6,0,0,0,0,0,4,3.79,3.78,"BIO300",201710,693,0,0,0,0,0,2017,"5",1,"Biological Sciences",1,"A"
"120",120,120,120,289,"0b4c",1,3,2,1,0,0,1,2.7,2.99,3.02,"BIO300",201810,680,0,0,0,1,0,2018,"5",0,"Psychology",0,"B-"
"121",121,121,121,290,"1911",1,3,2,0,0,0,0,4,3.4,3.45,"BIO300",201810,680,0,0,0,1,0,2018,"5",0,"Finance",0,"A"
"122",122,122,122,291,"0bad",1,3,2,0,0,1,1,4,3.92,3.94,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Business Management",0,"A"
"123",123,123,123,292,"ee3a",0,3,2,1,1,0,0,2.3,2.92,2.87,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"Finance",0,"C+"
"124",124,124,124,295,"9711",1,3,2,1,0,1,0,1.3,2.45,2.52,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Finance",0,"D+"
"125",125,125,125,297,"0513",1,3,2,0,0,0,0,1.3,2.46,2.28,"BIO300",201710,693,0,0,0,1,0,2017,"5",0,"Business Management",0,"D+"
"126",126,126,126,298,"3716",1,1,1,1,0,0,1,2,2.52,2.61,"BIO300",201801,710,0,1,0,0,0,2018,"1",0,"Business Management",0,"C"
"127",127,127,127,300,"c3b8",0,1,1,0,0,0,0,3.7,3.14,3.17,"BIO300",201610,637,0,1,0,0,0,2016,"5",0,"Finance",0,"A-"
"128",128,128,128,302,"69ef",1,1,1,1,0,0,1,2,2.52,2.57,"BIO300",201701,629,0,1,0,0,0,2017,"1",0,"Computer Science",1,"C"
"129",129,129,129,303,"4396",0,3,2,1,0,1,0,3,2.74,2.72,"BIO300",201701,629,0,0,0,1,0,2017,"1",0,"English",0,"B"
"130",130,130,130,304,"c4d9",1,6,0,0,0,0,0,3.7,3.54,3.5,"BIO300",201910,683,0,0,0,0,0,2019,"5",1,"Finance",0,"A-"
"131",131,131,131,305,"3459",1,3,2,0,0,0,0,4,3.5,3.46,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Physics",1,"A"
"132",132,132,132,306,"6500",1,1,1,1,0,1,1,3,2.88,2.84,"BIO300",201910,683,0,1,0,0,0,2019,"5",0,"Mathematics",1,"B"
"133",133,133,133,310,"d238",0,1,1,1,0,0,0,2,2.21,2.3,"BIO300",201703,703,0,1,0,0,0,2017,"2",0,"Mathematics",1,"C"
"134",134,134,134,311,"d3ea",1,3,2,1,0,1,0,2.3,NA,2,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"Finance",0,"C+"
"135",135,135,135,313,"a707",1,3,2,0,0,0,0,2.7,2.92,2.9,"BIO300",201901,799,0,0,0,1,0,2019,"1",0,"Communication",0,"B-"
"136",136,136,136,315,"ff85",0,1,1,1,0,0,1,3,2.81,2.79,"BIO300",201803,727,0,1,0,0,0,2018,"2",0,"Political Science",0,"B"
"137",137,137,137,318,"7305",1,1,1,1,0,0,1,1.7,2.81,2.82,"BIO300",201801,710,0,1,0,0,0,2018,"1",0,"Biological Sciences",1,"C-"
"138",138,138,138,323,"0f70",1,3,2,0,0,1,0,2.3,NA,2,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"Communication",0,"C+"
"139",139,139,139,324,"4cf7",1,3,2,0,1,0,0,2,3.15,3.08,"BIO300",201710,693,0,0,0,1,0,2017,"5",0,"Communication",0,"C"
"140",140,140,140,325,"b98a",0,6,0,0,0,0,0,2.7,2.43,2.53,"BIO300",201703,703,0,0,0,0,0,2017,"2",1,"Mathematics",1,"B-"
"141",141,141,141,326,"862c",1,1,1,1,0,0,1,1,2.74,2.65,"BIO300",201901,799,0,1,0,0,0,2019,"1",0,"Business Management",0,"D"
"142",142,142,142,329,"0274",0,6,0,0,0,1,1,3.7,NA,3.84,"BIO300",201810,680,0,0,0,0,0,2018,"5",1,"Finance",0,"A-"
"143",143,143,143,330,"0f14",1,1,1,0,0,0,0,2,2.42,2.49,"BIO300",201903,623,0,1,0,0,0,2019,"2",0,"Computer Science",1,"C"
"144",144,144,144,331,"3dfd",0,3,2,1,0,0,1,3.7,3.04,3.06,"BIO300",201801,710,0,0,0,1,0,2018,"1",0,"Political Science",0,"A-"
"145",145,145,145,332,"4abb",1,6,0,0,0,0,0,4,3.41,3.41,"BIO300",201810,680,0,0,0,0,0,2018,"5",1,"Psychology",0,"A"
"146",146,146,146,334,"fe10",1,3,2,1,0,0,1,3,3.06,3.02,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"Physics",1,"B"
"147",147,147,147,335,"2c90",1,3,2,0,0,0,0,3,3.16,3.13,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"English",0,"B"
"148",148,148,148,336,"3083",1,3,2,1,0,0,1,3.7,2.57,2.69,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"Chemistry",1,"A-"
"149",149,149,149,337,"e1d3",1,6,0,0,0,0,0,2.3,3.01,3.06,"BIO300",201810,680,0,0,0,0,0,2018,"5",1,"Business Management",0,"C+"
"150",150,150,150,338,"22fe",1,3,2,0,0,0,0,3,3.25,3.18,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Physics",1,"B"
"151",151,151,151,339,"d4ee",1,3,2,0,0,0,0,2.3,2.71,2.72,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"Chemistry",1,"C+"
"152",152,152,152,342,"cdc4",1,3,2,0,0,0,0,3.7,3.24,3.3,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"Economics",1,"A-"
"153",153,153,153,344,"96ae",1,3,2,0,0,0,1,4,3.37,3.42,"BIO300",201901,799,0,0,0,1,0,2019,"1",0,"Mathematics",1,"A"
"154",154,154,154,346,"4985",1,1,1,1,0,0,1,2.7,3.22,3.21,"BIO300",201910,683,0,1,0,0,0,2019,"5",0,"Biological Sciences",1,"B-"
"155",155,155,155,349,"c043",1,6,0,0,0,0,0,3.7,2.79,2.8,"BIO300",201910,683,0,0,0,0,0,2019,"5",1,"Economics",1,"A-"
"156",156,156,156,351,"9bdf",0,3,2,0,0,0,0,3.3,3.6,3.6,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"Mathematics",1,"B+"
"157",157,157,157,355,"e981",1,NA,0,0,0,0,0,4,4,4,"BIO300",201701,629,NA,NA,NA,NA,NA,2017,"1",NA,"English",0,"A"
"158",158,158,158,356,"e334",1,1,1,1,0,0,1,3,3.4,3.41,"BIO300",201710,693,0,1,0,0,0,2017,"5",0,"Physics",1,"B"
"159",159,159,159,357,"79d5",1,3,2,0,1,0,0,3.7,3.8,3.81,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Communication",0,"A-"
"160",160,160,160,363,"5ce6",1,6,0,0,0,0,0,3.3,3.08,3.15,"BIO300",201801,710,0,0,0,0,0,2018,"1",1,"English",0,"B+"
"161",161,161,161,365,"ba62",1,3,2,0,0,0,1,4,3.37,3.4,"BIO300",201801,710,0,0,0,1,0,2018,"1",0,"Mathematics",1,"A"
"162",162,162,162,369,"4c36",1,6,0,0,0,0,0,2,3.04,3.03,"BIO300",201803,727,0,0,0,0,0,2018,"2",1,"Biological Sciences",1,"C"
"163",163,163,163,370,"26d2",1,6,0,1,0,0,0,2.3,3.24,3.25,"BIO300",201810,680,0,0,0,0,0,2018,"5",1,"Psychology",0,"C+"
"164",164,164,164,373,"2fae",0,3,2,0,0,1,1,3.3,3.52,3.51,"BIO300",201801,710,0,0,0,1,0,2018,"1",0,"Political Science",0,"B+"
"165",165,165,165,375,"5035",1,3,2,1,0,1,0,1.7,2.21,2.21,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Political Science",0,"C-"
"166",166,166,166,377,"025c",1,3,2,0,0,0,0,3.3,3.83,3.65,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Computer Science",1,"B+"
"167",167,167,167,379,"0cf3",1,6,0,0,0,1,0,3.3,3.37,3.12,"BIO300",201803,727,0,0,0,0,0,2018,"2",1,"Biological Sciences",1,"B+"
